date,precipitation,precipitation_normal
19300801,3.00,30.18
19300802,3.09,30.32
19300803,3.09,30.45
19300804,3.11,30.58
19300805,3.23,30.72
19300806,3.23,30.86
19300807,3.23,31.00
19300808,3.23,31.15
19300809,3.23,31.30
19300810,3.23,31.45
19300811,3.23,31.59
19300812,3.23,31.72
19300813,3.23,31.86
19300814,3.23,32.00
19300815,3.23,32.14
19300816,3.23,32.29
19300817,3.23,32.45
19300818,3.23,32.62
19300819,3.23,32.79
19300820,3.26,32.97
19300821,3.26,33.16
19300822,3.26,33.34
19300823,3.26,33.53
19300824,3.26,33.73
19300825,3.33,33.92
19300826,3.33,34.11
19300827,3.33,34.31
19300828,3.33,34.50
19300829,4.95,34.69
19300830,5.10,34.89
19300831,5.63,35.10
19300901,5.63,35.29
19300902,5.63,35.48
19300903,5.75,35.67
19300904,5.75,35.86
19300905,5.75,36.05
19300906,5.75,36.23
19300907,6.27,36.43
19300908,6.27,36.63
19300909,6.27,36.83
19300910,6.34,37.04
19300911,6.34,37.25
19300912,6.34,37.46
19300913,6.34,37.66
19300914,6.34,37.85
19300915,6.45,38.03
19300916,6.45,38.20
19300917,6.45,38.36
19300918,6.45,38.51
19300919,6.45,38.66
19300920,6.45,38.81
19300921,6.45,38.97
19300922,6.68,39.11
19300923,7.31,39.26
19300924,7.60,39.41
19300925,7.60,39.57
19300926,8.25,39.72
19300927,8.25,39.88
19300928,8.25,40.02
19300929,8.25,40.17
19300930,8.25,40.31
19301001,8.25,40.47
19301002,8.25,40.63
19301003,8.25,40.82
19301004,8.29,41.00
19301005,8.52,41.18
19301006,9.06,41.36
19301007,11.81,41.53
19301008,11.81,41.71
19301009,11.81,41.88
19301010,11.81,42.06
19301011,11.81,42.25
19301012,11.86,42.44
19301013,11.86,42.63
19301014,11.86,42.82
19301015,11.86,43.02
19301016,11.86,43.22
19301017,11.86,43.43
19301018,11.86,43.64
19301019,11.86,43.87
19301020,11.86,44.09
19301021,11.86,44.31
19301022,11.86,44.53
19301023,11.96,44.74
19301024,11.96,44.94
19301025,11.96,45.15
19301026,11.96,45.35
19301027,13.35,45.54
19301028,13.37,45.74
19301029,13.38,45.94
19301030,13.38,46.12
19301031,13.38,46.30
19301101,13.38,46.45
19301102,13.38,46.60
19301103,13.38,46.75
19301104,13.38,46.91
19301105,13.38,47.06
19301106,13.38,47.21
19301107,13.38,47.37
19301108,13.43,47.51
19301109,13.56,47.67
19301110,13.63,47.82
19301111,13.83,47.97
19301112,14.13,48.12
19301113,14.27,48.27
19301114,14.27,48.42
19301115,14.37,48.56
19301116,14.44,48.70
19301117,14.44,48.83
19301118,14.44,48.96
19301119,14.46,49.10
19301120,14.72,49.24
19301121,14.72,49.38
19301122,14.73,49.52
19301123,14.79,49.66
19301124,14.84,49.80
19301125,14.84,49.93
19301126,14.84,50.07
19301127,14.84,50.20
19301128,14.84,50.34
19301129,15.31,50.48
19301130,15.91,50.62
19301201,15.91,50.76
19301202,15.91,50.90
19301203,15.91,51.04
