date,min,max,normal_min,normal_max
19300801,99.0,75.0,92.9,75.7
19300802,97.0,79.0,92.9,75.7
19300803,95.0,78.0,93.0,75.7
19300804,95.0,79.0,93.0,75.7
19300805,92.0,76.0,93.0,75.8
19300806,92.0,74.0,93.0,75.8
19300807,96.0,71.0,93.0,75.8
19300808,97.0,71.0,93.0,75.8
19300809,94.0,75.0,93.0,75.8
19300810,92.0,72.0,93.0,75.9
19300811,99.0,70.0,93.0,75.9
19300812,99.0,71.0,93.0,75.9
19300813,98.0,78.0,93.0,75.9
19300814,98.0,72.0,92.9,75.9
19300815,98.0,73.0,92.9,75.9
19300816,97.0,70.0,92.9,75.9
19300817,98.0,71.0,92.8,75.9
19300818,98.0,72.0,92.7,75.9
19300819,101.0,74.0,92.7,75.9
19300820,101.0,74.0,92.6,75.8
19300821,96.0,76.0,92.5,75.8
19300822,96.0,72.0,92.5,75.8
19300823,93.0,71.0,92.4,75.7
19300824,94.0,73.0,92.3,75.6
19300825,83.0,72.0,92.2,75.6
19300826,92.0,68.0,92.1,75.5
19300827,95.0,65.0,91.9,75.4
19300828,96.0,65.0,91.8,75.3
19300829,89.0,70.0,91.7,75.2
19300830,95.0,73.0,91.5,75.1
19300831,92.0,70.0,91.4,75.0
19300901,92.0,73.0,91.3,74.9
19300902,94.0,70.0,91.1,74.7
19300903,92.0,73.0,90.9,74.6
19300904,93.0,70.0,90.8,74.4
19300905,92.0,69.0,90.6,74.2
19300906,93.0,71.0,90.4,74.1
19300907,94.0,71.0,90.2,73.9
19300908,96.0,72.0,90.0,73.7
19300909,91.0,71.0,89.9,73.5
19300910,94.0,71.0,89.7,73.2
19300911,100.0,74.0,89.5,73.0
19300912,97.0,73.0,89.3,72.8
19300913,96.0,73.0,89.0,72.5
19300914,95.0,73.0,88.8,72.3
19300915,89.0,73.0,88.6,72.0
19300916,85.0,65.0,88.4,71.8
19300917,85.0,64.0,88.2,71.5
19300918,91.0,60.0,88.0,71.3
19300919,88.0,61.0,87.7,71.0
19300920,92.0,72.0,87.5,70.7
19300921,92.0,69.0,87.3,70.4
19300922,86.0,70.0,87.0,70.1
19300923,82.0,70.0,86.8,69.8
19300924,87.0,73.0,86.6,69.5
19300925,90.0,72.0,86.3,69.2
19300926,80.0,67.0,86.1,69.0
19300927,78.0,57.0,85.9,68.7
19300928,83.0,60.0,85.6,68.4
19300929,84.0,64.0,85.4,68.1
19300930,83.0,64.0,85.2,67.8
19301001,83.0,65.0,84.9,67.5
19301002,83.0,59.0,84.7,67.2
19301003,82.0,61.0,84.4,66.9
19301004,76.0,71.0,84.2,66.6
19301005,80.0,68.0,84.0,66.3
19301006,85.0,73.0,83.7,66.0
19301007,79.0,67.0,83.5,65.7
19301008,89.0,60.0,83.2,65.4
19301009,87.0,63.0,83.0,65.1
19301010,85.0,72.0,82.7,64.8
19301011,85.0,71.0,82.5,64.5
19301012,82.0,73.0,82.3,64.2
19301013,81.0,67.0,82.0,64.0
19301014,80.0,59.0,81.8,63.7
19301015,82.0,61.0,81.5,63.4
19301016,87.0,63.0,81.3,63.1
19301017,79.0,56.0,81.0,62.8
19301018,74.0,56.0,80.8,62.5
19301019,73.0,51.0,80.5,62.2
19301020,77.0,55.0,80.2,62.0
19301021,79.0,55.0,80.0,61.7
19301022,78.0,57.0,79.7,61.4
19301023,75.0,66.0,79.5,61.1
19301024,68.0,58.0,79.2,60.8
19301025,69.0,43.0,78.9,60.5
19301026,80.0,51.0,78.7,60.2
19301027,72.0,68.0,78.4,59.9
19301028,73.0,63.0,78.1,59.6
19301029,66.0,57.0,77.8,59.3
19301030,73.0,42.0,77.5,59.0
19301031,63.0,43.0,77.3,58.7
19301101,62.0,40.0,77.0,58.4
19301102,72.0,48.0,76.7,58.1
19301103,74.0,52.0,76.4,57.8
19301104,74.0,49.0,76.1,57.5
19301105,73.0,49.0,75.8,57.2
19301106,69.0,49.0,75.5,56.9
19301107,68.0,45.0,75.1,56.6
19301108,67.0,47.0,74.8,56.2
19301109,60.0,55.0,74.5,55.9
19301110,62.0,57.0,74.2,55.6
19301111,63.0,59.0,73.9,55.3
19301112,64.0,60.0,73.6,55.0
19301113,,,73.2,54.6
19301114,78.0,64.0,72.9,54.3
19301115,81.0,62.0,72.6,54.0
19301116,79.0,55.0,72.2,53.7
19301117,83.0,54.0,71.9,53.4
19301118,81.0,61.0,71.6,53.1
19301119,79.0,73.0,71.3,52.7
19301120,75.0,50.0,70.9,52.4
19301121,62.0,55.0,70.6,52.1
19301122,57.0,47.0,70.3,51.8
19301123,60.0,46.0,70.0,51.5
19301124,54.0,43.0,69.7,51.2
19301125,57.0,32.0,69.3,50.9
19301126,60.0,46.0,69.0,50.7
19301127,67.0,35.0,68.7,50.4
19301128,70.0,46.0,68.4,50.1
19301129,71.0,61.0,68.1,49.8
19301130,70.0,52.0,67.8,49.6
19301201,63.0,41.0,67.5,49.3
19301202,62.0,45.0,67.3,49.1
19301203,68.0,50.0,67.0,48.8
19301204,72.0,60.0,66.7,48.6
19301205,68.0,49.0,66.5,48.4
19301206,51.0,42.0,66.2,48.2
